id,name,genre,grade,country,year,poster,time,description,orig_name,pivgrade,urllive,urlclub
72,Паразиты дорама (2019),"Драма, Комедия, Триллер",9.17,Южная Корея,2019,https://doramy.club/wp-content/uploads/2020/04/parazity.jpg,2 часа 12 мин,"Сюжет фильма «Паразиты» разворачивается вокруг безработной семьи. Они привыкли питаться чем попало, ловят интернет у соседей и ищут все возможные способы, чтобы поживиться. Однажды сыну по имени Ки У предлагают неплохую работенку и  все что нужно это позаниматься английским языком с милой девушкой из богатой семьи. Конечно же, парень соглашается, он становится кормильцем семьи и даже устраивает на работу свою сестру Ки Чжон. Однако на этом они останавливаться не собираются, благодаря хитрым интригам в богатую семью устраивается вся их родня. Зрителю будет представлена наглядная картина отношений между разными слоями общества и коварством семьи, которая ради собственной выгоды пойдет на любую пакость и даже преступление.",Gisaengchoong,0.5,https://doramalive.ru/dorama/parazity/,https://doramy.club/18068-parazity.html
73,Живой | Выжить дорама (2020),"Боевик, Драма, Триллер, Ужасы",9.31,Южная Корея,2020,https://doramy.club/wp-content/uploads/2020/07/zhivoj.jpg,1 час 37 мин,"Проснувшись однажды утром, Чжун У обнаруживает нечто странное и ужасающее. В Сеуле произошла вспышка неизвестного вируса, из-за которого люди начинают нападать друг на друга. Весь город в панике. Сотовая связь неисправна и нет доступного выхода в интернет. Чжун У и Ю Бин придётся буквально бороться за свою жизнь в изолированном жилом комплексе.",#Salaidda,3.5,https://doramalive.ru/dorama/alive/,https://doramy.club/21566-zhivoj.html
75,Настроение дня дорама (2016),"Драма, Комедия, Мелодрама",8.99,Южная Корея,2016,https://doramy.club/wp-content/uploads/2018/12/nastroenie-dnya.jpg,1 час 43 мин,"Дорама «Настроение дня» повествует о романтической судьбе двух молодых людей. Главная героиня Су Чжон – обладательница очаровательной внешности и состоявшаяся в своей профессии молодая девушка. Стабильную размеренную жизнь беспокоят только мысли о свадьбе, ведь ее молодой человек, несмотря на длительные отношения, вовсе не торопится зарегистрировать с ней брак. Неустроенность личной жизни начинает негативным образом влиять на настроение Су Чжон, и, в конечном счете, вовсе портится, когда она узнает о предстоящей свадьбе ее первой любви  Мин Сок и школьной подруги.
Собираясь в командировку в Пусан, Су Чжон одолевают смешанные чувства, с одной стороны, это обиды, с другой — зависть подругам. Мрачные мысли девушки были прерваны молодым попутчиком Чжэ Хёном, который буквально разорвал череду грустных мыслей своим жизнелюбием и энергией. Чжэ Хён действительно легко идет по жизни, не строит серьезных планов и не заглядывает в будущее. Однако интерес молодого человека к миловидной попутчице не ограничился одной лишь встречей.",Keunalui Bonwigi,1.4,https://doramalive.ru/dorama/mood_of_the_day/,https://doramy.club/9702-nastroenie-dnya.html
77,Река грусти | Река скорби дорама (2018),"Драма, Мелодрама",9.12,Китай,2018,https://doramy.club/wp-content/uploads/2020/03/reka-skorbi.jpg,1 час 45 мин,"Фильм-драма «Река грусти» знакомит нас с ученицей старшей школы И Яо. Девушка вместе с мамой живёт по соседству со своим одноклассником Ци Мином. Молодые люди с детства дружат, вот только образ жизни каждого из них сильно отличается. Если Ци Мин растёт любимым ребенком в состоятельной семье, то И Яо живёт в крайней бедности и вынуждена терпеть равнодушие и бесконечные упрёки своей матери. Казалось бы, жизнь и так жестока обошлась с девочкой, но самое страшное для неё начинается после того, как она узнает о своем венерическом заболевании. Девушка в отчаянии и замешательстве, ведь она никогда не была близка с мужчиной.
Ей ничего не остаётся, как скрывать это ото всех. Однако новенькая ученица в их классе Тан Сяоми, влюбленная в Ци Мина, сразу невзлюбила И Яо, и, узнав о её секрете, сообщает о нём всей школе. С тех самых пор жизнь героини превращается в настоящий кошмар, ведь теперь она объект для издевательств, и ежедневно подвергается жестокой травле со стороны сверстников. Девушка на грани отчаяния, но в самый тяжёлый момент за неё заступается парень из параллельного класса Гу Суньси, единственный, кто поверит в невинность И Яо. Теперь у нее есть тот, кто поддерживает её и всячески защищает. Вот только на долю героини выпадает ещё одно серьезное испытание. В силах ли она преодолеть его?",Bei shang ni liu cheng he,1.2,https://doramalive.ru/dorama/cry_me_a_sad_river/,https://doramy.club/10093-reka-grusti.html
78,Полночь дорама (2021),Триллер,09.09,Южная Корея,2021,https://doramy.club/wp-content/uploads/2021/07/polnoch.jpg,1 час 42 мин,"Сюжет полнометражного фильма «Полночь» разворачивается вокруг молодой девушки по имени Кен Ми. У неё проблемы со слухом, однако она научилась жить с этим, не испытывая сильного дискомфорта. Однажды, идя по темному переулку, девушка сталкивается с жертвой серийного убийцы по имени До Шик. После этого случая Кен Ми становится его целью. Преследователю кажется, что она будет легкой добычей, ведь героиня ничего не слышит, однако девушка не так проста, как ему сперва показалось.",Midnight,3.2,https://doramalive.ru/dorama/polnoch_2021/,https://doramy.club/26891-2-polnoch.html
79,Мисс и миссис Коп дорама (2019),"Детектив, Комедия",09.08,Южная Корея,2019,https://doramy.club/wp-content/uploads/2019/06/miss-i-missis-kop.jpg,1 час 47 мин,"Сюжет комедийного фильма «Мисс и миссис Коп» разворачивается вокруг двух случайных напарниц, которым вместе предстоит расследовать одно преступление. Ми Ён женщина с большим жизненным опытом, которая была настоящей легендой в детективном отделе, но ушла со службы после замужества. Сейчас она работает в центре обслуживания населения и помогает гражданам решать разные вопросы. Теперь ей приходиться иметь дело с молодой и пылкой Джи Хе, которая оказывается в отделе по борьбе с тяжкими преступлениями. Вместе этой парочке предстоит расследовать одно преступление, хотя их сотрудничество больше напоминает соперничество, но в борьбе с преступностью им удается преодолеть все личные разногласия.",Girl Cops,4.2,https://doramalive.ru/dorama/girl_cops/,https://doramy.club/12611-miss-i-missis-kop.html
173,Поезд в Пусан дорама (2016),"Драма, Триллер, Ужасы",9.22,Южная Корея,2016,https://doramy.club/wp-content/uploads/2017/10/poezd-v-pusan.jpg,1 час 58 мин.,"Успешный бизнесмен господин Су очень занят на работе, из-за этого у него совсем не остается времени на свою семью. Жена уехала в Пусан и хочет развестись, у его маленькой дочери Су Ан день рождение и девочка хочет повидать мать. Занятой отец все-таки находит время, чтобы выполнить просьбу своей дочери. В это время в Сеуле начинается эпидемия, которая превращает людей в кровожадных зомби и поезд в Пусан становится убежищем для ничего не подозревающих пассажиров. Однако в него попала зараженная девушка и вирус начал стремительно распространяться раскрывая скрытые качества людей в борьбе за выживание.",Train to Busan,2.4,https://doramalive.ru/dorama/poezd_v_pusan/,https://doramy.club/3488-poezd-v-pusan.html
174,Парень внутри меня дорама (2019),"Драма, Комедия, Фантастика",9.19,Южная Корея,2019,https://doramy.club/wp-content/uploads/2019/02/paren-vnutri-menya.jpg,2 часа 2 мин,"Сюжет фильма «Парень внутри меня» рассказывает удивительную историю которая приключилась с успешным мужчиной. Пан Су бизнесмен, который умеет добиваться поставленных целей любыми средствами. Он по-настоящему опасный человек и на пути у такого лучше не стоять. Однажды он заходит в дешевую забегаловку, а спустя несколько минут после ухода на него с крыши сваливается старшеклассник Дон Хён. Оба попадают в больницу, вот только Пан Су приходит в себе и оказывается в теле парня, который на него свалился. Вся эта ситуация ему слишком не нравится, ведь нужно вести важные дела, но делать это в теле неуверенного в себе подростка будет крайне сложно. Как бы там ни было характер, и внутренний стержень помогут главному герою во всем разобраться привычным для него способом.",Naeaneui geunom,4.2,https://doramalive.ru/dorama/the_man_inside_me/,https://doramy.club/10682-paren-vnutri-menya.html
176,Мой старший брат слишком сильно любит меня дорама (2017),"Комедия, Мелодрама",8.96,Япония,2017,https://doramy.club/wp-content/uploads/2018/02/moj-starshij.jpg,1 час 39 мин.,"Главная героиня комедийной дорамы «Мой старший брат слишком сильно любит меня» ученица старших классов Тачибана Сэтока страдает от того, что все парни которым она предлагала встречаться отказывали ей, хотя до этого проявляли интерес. Какого было ее удивление, кода бедняжка узнала, что ее сводный брат приложил к этому свою руку. Но настал день, кода в школе появился парень, который вовсе не боится ее брата и готов побороться за понравившеюся девушку. Однако и братишка отступать не намерен и похоже, что дело тут совсем не в родственной заботе.",My Brother Loves Me Too Much,1.2,https://doramalive.ru/dorama/my_brother_loves_me_too_much/,https://doramy.club/4750-moj-starshij-brat-lyubit-menya.html
177,Ведьма дорама (2018),"Триллер, Фантастика",09.06,Южная Корея,2018,https://doramy.club/wp-content/uploads/2018/09/vedma.jpg,2 часа 05 мин.,"Главная героиня фильма «Ведьма» в детстве подверглась чудовищным экспериментам, ей чудом удалось спастись во время уничтожения объектов исследования. Так полумертвую ее нашла пожилая пара, девочка потеряла память и супруги решили удочерить ребенка. Шли годы и героиня росла обычным подростком, до тех пор пока не начали происходить странные вещи и организация безжалостных убийц не нашла сбежавший объект своих прошлых экспериментов. Однако девушка уже не ребенок, что же будет, когда память прошлых ужасов и дремавшая все это время в ней сила вернутся?",The Witch: Part 1. The Subversion,3.2,https://doramalive.ru/dorama/vedma/,https://doramy.club/8158-2-vedma.html
178,Хён / Брат дорама (2016),"Драма, Комедия",9.32,Южная Корея,2016,https://doramy.club/wp-content/uploads/2018/08/xyon.jpg,1 час 50 мин,"События фильма разворачиваются вокруг двух братьев, которые выбрали разные жизненные пути. Ду Ён добился большого успеха в спорте и даже стал мастером дзюдо. Его родной брат Ду Шик отбывает тюремный срок, но после случившейся трагедии с Ду Ёном выходит на свободу. Во время очередной тренировки он получил тяжелую травму и лишился зрения. Ду Ён нуждается в помощи и Ду Шик получает досрочное освобождение, чтобы присмотреть за братом. Вот только братья не особо хорошо ладят и долгое время даже не общались, а Ду Шик всего лишь использовал  возможность присматривать за братом, чтобы выйти из тюрьмы. Теперь им предстоит жить вместе и налаживать отношения.",Hyung,5.4,https://doramalive.ru/dorama/my_annoying_brother/,https://doramy.club/7389-xyon.html
179,Подставной город | Искаженный город дорама (2017),"Боевик, Криминал",9.32,Южная Корея,2017,https://doramy.club/wp-content/uploads/2017/04/podstavnoj-gorod.jpg,2 часа 6 мин,"События фильма «Подставной город» разворачиваются вокруг заядлого геймера Квон-ю. Он вместе с друзьями в сети проводит большую часть жизни за компьютерными играми. В виртуальном мире ему просто нет равный, но в реальности, Квон-ю типичный неудачник, которому судьба преподносит серьезное испытание. Однажды наш герой находит телефон, который вскоре возвращает за вознаграждение. На следующий день его обвиняют в убийстве женщины, которой он вернул мобильник. Компьютерный игрок решает собрать свою команду непобедимых виртуальных бойцов, чтобы восстановить справедливость в реальном мире.",Jojakdwen doshi,1.2,https://doramalive.ru/dorama/modified_city/,https://doramy.club/14-podstavnoj-gorod.html
180,Божественная ярость дорама (2019),"Боевик, Мистика, Триллер, Ужасы",09.04,Южная Корея,2019,https://doramy.club/wp-content/uploads/2019/09/bozhestvennaya-yarost.jpg,2 часа 9 мин.,"Отец главного героя мистического фильма «Божественная ярость» Ён Хо, погиб при исполнении. С тех пор парень закрылся от окружающего мира и занялся боевыми искусствами. Шли годы, мальчик вырос в крепкого мужчину, выиграв не один чемпионат. С Ён Хо начинают происходить мистические события, и в завершении ко всему у него на руках открываются стигматы. Герой встречает отца Ана, католического священника экзорциста, который борется за души людей. Впереди их ждет опасная битва с великим злом, которое когда-то стало причиной гибели его отца.",The Divine Fury,3.2,https://doramalive.ru/dorama/bozhestvennaya_yarost/,https://doramy.club/14073-bozhestvennaya-yarost.html
